term,tfidf
soldiers,0.013941125274638838
toth,0.013941125274638838
receiue,0.013941125274638838
safe,0.013941125274638838
terrible,0.013941125274638838
eare,0.013941125274638838
charme,0.013941125274638838
porter,0.013941125274638838
strike,0.013941125274638838
darke,0.013941125274638838
harme,0.013941125274638838
duties,0.013941125274638838
certaine,0.013941125274638838
len,0.013941125274638838
actus,0.013941125274638838
graue,0.013941125274638838
meeting,0.013941125274638838
prima,0.013941125274638838
sonnes,0.013941125274638838
cauldron,0.013941125274638838
farre,0.013941125274638838
crowne,0.013941125274638838
slaine,0.013941125274638838
needs,0.013014436734346754
short,0.013014436734346754
ornament,0.013014436734346754
motion,0.013014436734346754
gift,0.013014436734346754
tied,0.013014436734346754
fairest,0.013014436734346754
speaking,0.013014436734346754
shape,0.013014436734346754
buried,0.013014436734346754
antique,0.013014436734346754
quite,0.013014436734346754
holds,0.013014436734346754
wherein,0.013014436734346754
rage,0.013014436734346754
barren,0.013014436734346754
knife,0.012792163496366277
common,0.012792163496366277
wound,0.012792163496366277
told,0.012792163496366277
wretched,0.012792163496366277
bare,0.012792163496366277
tongues,0.012792163496366277
image,0.012792163496366277
story,0.012792163496366277
heat,0.012792163496366277
blame,0.012792163496366277
numbers,0.012792163496366277
ne,0.012792163496366277
song,0.012792163496366277
red,0.012792163496366277
draw,0.012569890258385799
mock,0.012569890258385799
didst,0.012569890258385799
birds,0.012569890258385799
ride,0.012569890258385799
foot,0.012569890258385799
got,0.012569890258385799
pretty,0.012569890258385799
greater,0.012569890258385799
crown,0.012569890258385799
knowledge,0.012569890258385799
line,0.012569890258385799
boy,0.012569890258385799
grows,0.012402489341502208
sovereign,0.012402489341502208
april,0.012402489341502208
cheeks,0.012402489341502208
jewel,0.012402489341502208
break,0.012402489341502208
inward,0.012402489341502208
help,0.012402489341502208
leisure,0.012402489341502208
widow,0.012402489341502208
appear,0.012402489341502208
beauties,0.012402489341502208
prime,0.012402489341502208
grown,0.012402489341502208
rehearse,0.012402489341502208
gain,0.012402489341502208
clouds,0.012402489341502208
count,0.012402489341502208
tired,0.012402489341502208
rude,0.012402489341502208
believe,0.012402489341502208
substance,0.012402489341502208
praises,0.012402489341502208
toil,0.012402489341502208
sum,0.012402489341502208
frown,0.012402489341502208
lends,0.012402489341502208
brass,0.012402489341502208
behind,0.012402489341502208
assured,0.012402489341502208
increase,0.012402489341502208
bosom,0.012402489341502208
minutes,0.012402489341502208
methinks,0.012402489341502208
lays,0.012402489341502208
touches,0.012402489341502208
groan,0.012402489341502208
rare,0.012402489341502208
hour,0.012402489341502208
buds,0.012402489341502208
thief,0.012402489341502208
air,0.012402489341502208
used,0.012402489341502208
seek,0.012402489341502208
errors,0.012402489341502208
add,0.012402489341502208
lack,0.012402489341502208
laid,0.012402489341502208
work,0.012402489341502208
removed,0.012402489341502208
turns,0.012402489341502208
oaths,0.012402489341502208
forsworn,0.012402489341502208
worms,0.012402489341502208
knowing,0.012402489341502208
poet,0.012402489341502208
abundance,0.012402489341502208
public,0.012402489341502208
scythe,0.012402489341502208
evil,0.012402489341502208
complexion,0.012402489341502208
unused,0.012402489341502208
remembered,0.012402489341502208
given,0.012402489341502208
picture,0.012402489341502208
number,0.012402489341502208
towards,0.01234761702040532
watch,0.01234761702040532
often,0.01234761702040532
note,0.01234761702040532
wrought,0.01234761702040532
broke,0.01234761702040532
something,0.01234761702040532
breed,0.01234761702040532
horse,0.01234761702040532
open,0.01234761702040532
question,0.01234761702040532
remember,0.01234761702040532
alas,0.01234761702040532
indeed,0.012125343782424844
toward,0.012125343782424844
horses,0.012125343782424844
together,0.012125343782424844
attend,0.012125343782424844
flourish,0.012125343782424844
amen,0.012125343782424844
chance,0.012125343782424844
honest,0.012125343782424844
violent,0.01115290021971107
murtherers,0.01115290021971107
pronounce,0.01115290021971107
villaine,0.01115290021971107
bleed,0.01115290021971107
fit,0.01115290021971107
flight,0.01115290021971107
griefe,0.01115290021971107
promis,0.01115290021971107
successe,0.01115290021971107
valour,0.01115290021971107
vanish,0.01115290021971107
court,0.01115290021971107
prythee,0.01115290021971107
fleance,0.01115290021971107
blacke,0.01115290021971107
paines,0.01115290021971107
cruell,0.01115290021971107
drum,0.01115290021971107
appar,0.01115290021971107
winde,0.01115290021971107
scaena,0.01115290021971107
performe,0.01115290021971107
scorne,0.01115290021971107
ang,0.01115290021971107
diuell,0.01115290021971107
honors,0.01115290021971107
mes,0.01115290021971107
alarums,0.01115290021971107
worke,0.01115290021971107
drumme,0.01115290021971107
fife,0.01115290021971107
meane,0.01115290021971107
labour,0.01115290021971107
sent,0.01115290021971107
knocke,0.01115290021971107
seruants,0.01115290021971107
shee,0.01115290021971107
seruice,0.01115290021971107
yeeld,0.01115290021971107
eate,0.01115290021971107
enemie,0.01115290021971107
yong,0.01115290021971107
souldier,0.01115290021971107
